muni_id,municipal
155,Lexington
93,Everett
25,Bellingham
187,Millis
92,Essex
176,Medford
67,Concord
277,Southborough
342,Wilmington
107,Gloucester
119,Hamilton
78,Dover
307,Walpole
335,Westwood
50,Canton
266,Sharon
220,Norwood
285,Stoughton
131,Hingham
262,Saugus
243,Quincy
246,Reading
48,Burlington
170,Marlborough
208,Norfolk
231,Pembroke
199,Needham
350,Wrentham
141,Hudson
166,Manchester
317,Wellesley
175,Medfield
49,Cambridge
171,Marshfield
291,Swampscott
274,Somerville
133,Holbrook
177,Medway
320,Wenham
258,Salem
198,Natick
122,Hanover
163,Lynn
136,Holliston
82,Duxbury
336,Weymouth
26,Belmont
168,Marblehead
46,Brookline
333,Weston
344,Winchester
51,Carlisle
10,Arlington
264,Scituate
14,Ashland
57,Chelsea
184,Middleton
34,Bolton
73,Dedham
284,Stoneham
196,Nahant
158,Littleton
305,Wakefield
185,Milford
346,Winthrop
100,Framingham
178,Melrose
315,Wayland
219,Norwell
164,Lynnfield
144,Ipswich
286,Stow
65,Cohasset
157,Lincoln
2,Acton
308,Waltham
99,Foxborough
288,Sudbury
30,Beverly
139,Hopkinton
244,Randolph
174,Maynard
251,Rockland
347,Woburn
213,North Reading
189,Milton
207,Newton
229,Peabody
71,Danvers
40,Braintree
101,Franklin
252,Rockport
35,Boston
37,Boxborough
314,Watertown
269,Sherborn
23,Bedford
298,Topsfield
248,Revere
142,Hull
165,Malden
